TYPE	PACKAGE	CHAR_KEY	SELF_KEY	NAME	HINT	LINE
SKILL	bingshi		potshanxi		势贺齐	12
SKILL	bingshi		potqizhou		势贺齐	63
SKILL	bingshi		potheyun		势小乔	154
SKILL	bingshi		potyinhui		势小乔	240
SKILL	bingshi		potchiyun		势周瑜	411
SKILL	bingshi		potyanhui		势周瑜	525
SKILL	bingshi		potfentao		势周瑜	760
SKILL	bingshi		potxiongzi		购卡的新巧思-2-3-4-5-6	838
SKILL	bingshi		potduzuo		势程普	881
SKILL	bingshi		potbihan		势程普	911
SKILL	bingshi		potlibing		势夏侯霸	960
SKILL	bingshi		potpoxi		势夏侯霸	1052
SKILL	bingshi		potfaen		势陈群	1092
SKILL	bingshi		potdingpin		势陈群	1183
SKILL	bingshi		potsifeng		势曹真	1229
SKILL	bingshi		pothuilv		势吕壹	1378
SKILL	bingshi		potsongyan		势吕壹	1510
SKILL	bingshi		potshishi		势吕壹	1559
SKILL	bingshi		potdianyi		势曹爽	1650
SKILL	bingshi		potshequan		势曹爽	1744
SKILL	bingshi		potjianzhuan		势曹爽	1819
SKILL	bingshi		potnizun		势曹爽	1946
SKILL	bingshi		potfuan		势张任	2085
SKILL	bingshi		potyinxian		势张任	2247
SKILL	bingshi		potnigu		势孙綝	2291
SKILL	bingshi		potlulian		势孙綝	2381
SKILL	bingshi		pottuntian		势邓艾·重做	2448
SKILL	bingshi		potzaoxian		牢萌最爱的免费鸡蛋	2548
SKILL	bingshi		potjixi		牢萌最爱的免费鸡蛋	2575
SKILL	bingshi		mbsizi		势钟会	2620
SKILL	bingshi		mbxiezhi		势钟会	2752
SKILL	bingshi		mbyunan		势钟会	2792
SKILL	bingshi		mbkechang		势钟会	2820
SKILL	bingshi		pot_liezhi		势臧洪	2865
SKILL	bingshi		pot_jugu		势臧洪	2947
SKILL	bingshi		potqingyan		势陈矫	2967
SKILL	bingshi		potceduan		势陈矫	3049
SKILL	bingshi		old_pottuntian		旧的势邓艾（神笔三技能互绑的三血白）	3131
SKILL	bingshi		old_potjixi		剩下这部分ai直接照抄手杀界屯田力	3281
